 Rank                     Fighter Score
  211                  Jon Madsen  1052
  212               Calvin Kattar  1052
  213                Thiago Alves  1051
  214                Dennis Siver  1051
  215            Raphael Assunção  1051
  216                 Marlon Vera  1051
  217              Brandon Moreno  1051
  218                  Jim Miller  1050
  219               Edson Barboza  1050
  220               Luke Rockhold  1050
  221              Brian Kelleher  1050
  222               Karo Parisyan  1049
  223             Melvin Guillard  1049
  224                 Vinc Pichel  1049
  225            Ruslan Magomedov  1049
  226             Cláudia Gadelha  1049
  227                 Randy Brown  1049
  228          Gerald Meerschaert  1049
  229               Cláudio Silva  1049
  230                Amanda Ribas  1049
  231              Cody Garbrandt  1048
  232               Movsar Evloev  1048
  233                  Érik Pérez  1047
  234                Adlan Amagov  1047
  235                  James Vick  1047
  236               Lorenz Larkin  1047
  237        Abdul Razak Alhassan  1047
  238                  Aspen Ladd  1047
  239               Hakeem Dawodu  1047
  240                Grant Dawson  1047
  241             Chris Gutiérrez  1047
  242                 Evan Tanner  1046
  243                Alan Belcher  1046
  244                Shawn Jordan  1046
  245             Alejandro Pérez  1046
  246              Misha Cirkunov  1046
  247             Damir Ismagulov  1046
  248                 Alan Jouban  1045
  249               Julianna Peña  1045
  250               Ricardo Ramos  1045
  251             Volkan Oezdemir  1045
  252           Roosevelt Roberts  1045
  253               Giga Chikadze  1045
  254               Aaron Simpson  1044
  255                Alan Patrick  1044
  256             Matheus Nicolau  1044
  257               Ketlen Vieira  1044
  258               Justin Willis  1044
  259                 Bea Malecki  1044
  260                 Nate Quarry  1043
  261               John Makdessi  1043
  262            Michael McDonald  1043
  263               Mirsad Bektić  1043
  264                  Guy Mezger  1042
  265             Jerry Bohlander  1042
  266                  Matt Brown  1042
  267                 Sara McMann  1042
  268            Zubaira Tukhugov  1042
  269                 Chas Skelly  1042
  270                  Chris Wade  1042
  271               Eddie Alvarez  1042
  272               Desmond Green  1042
  273                  Song Kenan  1042
  274             Kai Kara-France  1042
  275        Anthony Rocco Martin  1042
