 Rank                     Fighter Score
  924               Chris Camozzi   993
  925                Steven Siler   993
  926              Roland Delorme   993
  927             Kenny Robertson   993
  928           Francimar Barroso   993
  929                 Will Brooks   993
  930               James Te Huna   992
  931             Justin Scoggins   992
  932                Charles Rosa   992
  933           Siyar Bahadurzada   992
  934              Jordan Rinaldi   992
  935            Alexey Kunchenko   992
  936               Carlos Newton   991
  937                 Jeremy Horn   991
  938            Manvel Gamburyan   991
  939                 Cat Zingano   991
  940                Trevor Smith   991
  941              Dennis Hallman   990
  942                Vernon White   990
  943                 Chris Leben   990
  944               Keith Jardine   990
  945              Tamdan McCrory   990
  946               Gian Villante   990
  947                 Ryan Benoit   990
  948               Leandro Silva   990
  949                Mads Burnell   990
  950                David Zawada   990
  951                Gil Castillo   989
  952                  Denis Kang   989
  953                   Luiz Cané   989
  954                  Papy Abedi   989
  955                 Reza Madadi   989
  956                 Ilir Latifi   989
  957                 Ulka Sasaki   989
  958              Augusto Mendes   989
  959             Khalil Rountree   989
  960               Chase Sherman   989
  961               Bobby Moffett   989
  962                 Kyle Nelson   989
  963               Ron van Clief   989
  964                Renzo Gracie   989
  965                 James Toney   989
  966             Tsuyoshi Kosaka   988
  967                Akihiro Gono   988
  968                   Jason Day   988
  969            David Bielkheden   988
  970                Jake Rosholt   988
  971           DaMarques Johnson   988
  972                   Kyle Noke   988
  973               Maximo Blanco   988
  974           Masanori Kanehara   988
  975                Joseph Duffy   988
  976              Leonardo Mafra   988
  977       Karolina Kowalkiewicz   988
  978                  Ryan Janes   988
  979              Sheymon Moraes   988
  980               Rafael Fiziev   988
  981               Buddy Roberts   988
  982            Renato Verissimo   987
  983                   Josh Neer   987
  984             Jason MacDonald   987
  985             Carmelo Marrero   987
  986            Charles McCarthy   987
  987                 Paul Taylor   987
  988           Charlie Brenneman   987
  989              Daniel Roberts   987
  990                   Greg Soto   987
  991           Jonathan Brookins   987
  992                Vagner Rocha   987
  993               Phil De Fries   987
  994                John Cholish   987
  995                 Dhiego Lima   987
  996               Allen Crowder   987
  997              Michel Pereira   987
  998              Austin Hubbard   987
  999                Hunter Azure   987
 1000              Pannie Kianzad   987
 1001              Jordan Griffin   987
 1002           Andre Pederneiras   987
 1003               Chris Haseman   987
 1004            Luigi Vendramini   987
 1005              Anthony Macias   986
 1006               Kalib Starnes   986
 1007               Heath Herring   986
 1008    Rameau Thierry Sokoudjou   986
 1009                Rory Markham   986
 1010             Shannon Gugerty   986
 1011           Chris Tuchscherer   986
 1012                  Aaron Rosa   986
 1013                 Riki Fukuda   986
 1014                  Rony Jason   986
 1015                  Ryan Jimmo   986
 1016                Mitch Gagnon   986
 1017              Brian Melancon   986
 1018                  K.J. Noons   986
 1019            Katsunori Kikuno   986
 1020               Richard Walsh   986
 1021               Tae Hyun Bang   986
 1022               Ian Entwistle   986
 1023               Glaico França   986
 1024               Chris Kelades   986
 1025               Geane Herrera   986
 1026                  Nathan Coy   986
 1027         Antonina Shevchenko   986
 1028               Ariane Lipski   986
 1029             Minoki Ichihara   986
 1030              Julian Sanchez   986
 1031                  John Lober   986
 1032                Jorge Patino   986
 1033                 Jeff Joslin   986
 1034              Josh Hendricks   986
 1035            Alexandre Barros   986
 1036                  Mark Munoz   986
 1037             Fabricio Camoes   986
 1038          Alexandre Ferreira   986
 1039             Vinny Magalhaes   986
 1040             Fábio Maldonado   986
 1041               Cindy Dandois   986
 1042             Marcin Prachnio   986
 1043                Jesús Pinedo   986
 1044               Cole Williams   986
 1045              Darrick Minner   986
 1046              Marcus Bossett   985
 1047                 Cal Worsham   985
 1048                   Brad Gumm   985
 1049                  Yuki Kondo   985
 1050               David Loiseau   985
 1051               Rob MacDonald   985
 1052              Drew McFedries   985
 1053          Christian Wellisch   985
 1054              Justin McCully   985
 1055                 Cole Miller   985
 1056                Ross Pearson   985
 1057                 John Salter   985
 1058              John Gunderson   985
 1059               Rob Broughton   985
 1060               Karlos Vemola   985
 1061               Shamar Bailey   985
 1062                  Mike Ricci   985
 1063                 Igor Araújo   985
 1064                 Joe Proctor   985
 1065               Sarah Kaufman   985
 1066            Michinori Tanaka   985
 1067               Luke Zachrich   985
 1068               Héctor Urbina   985
 1069               Roger Narvaez   985
 1070               Vitor Miranda   985
 1071                  Matt Dwyer   985
 1072                   Tony Sims   985
 1073              Jerrod Sanders   985
 1074            Sheldon Westcott   985
 1075               Damon Jackson   985
 1076            Bojan Veličković   985
 1077                Jessin Ayari   985
 1078                 Luan Chagas   985
 1079     Markus Perez Echeimberg   985
 1080         Carlo Pedersoli Jr.   985
 1081                    Wu Yanan   985
 1082              Mike Rodriguez   985
 1083             Jordan Espinosa   985
 1084                 Matt Sayles   985
 1085        Alex da Silva Coelho   985
 1086               Callan Potter   985
 1087                 Bevon Lewis   985
 1088              Journey Newson   985
 1089                 Scott Baker   985
 1090                 Fred Ettish   985
 1091                Melton Bowen   985
 1092                     Joe Son   985
 1093                  John Dowdy   985
 1094             Rudyard Moncayo   985
 1095                 Ryan Parker   985
 1096                  Koji Kitao   985
 1097                  Jim Mullen   985
 1098              Rainy Martinez   985
 1099                  Greg Stott   985
 1100               Igor Zinoviev   985
 1101                 Hugo Duarte   985
 1102               Frank Caracci   985
 1103          Keiichiro Yamamiya   985
 1104              Adrian Serrano   985
 1105                  Joao Roque   985
 1106              Marcelo Aguiar   985
 1107              Paul Rodriguez   985
 1108                 Homer Moore   985
 1109              Hayato Sakurai   985
 1110              Paul Creighton   985
 1111                Nick Agallar   985
 1112                  John Marsh   985
 1113                 Bill Mahood   985
 1114              Brian Gassaway   985
 1115                 Jeff Newton   985
 1116              Mike Whitehead   985
 1117             Steve Vigneault   985
 1118                 Yuki Sasaki   985
 1119              Josh Schockman   985
 1120                  Rex Holman   985
 1121            Brandon Melendez   985
 1122                   Neil Wain   985
 1123                Matt Horwich   985
 1124                 Mike Wessel   985
 1125               Brandon Wolff   985
 1126               Tiequan Zhang   985
 1127                   Alex Soto   985
 1128             José Maria Tomé   985
 1129                  Tim Gorman   985
 1130               Valmir Lazaro   985
 1131                Mats Nilsson   985
 1132                Paul Redmond   985
 1133               Patrick Walsh   985
 1134              Mickaël Lebout   985
 1135              Caio Magalhães   985
 1136              Mickael Lebout   985
 1137                  Zu Anyanwu   985
 1138                  Alex Reyes   985
 1139                Allan Zuñiga   985
 1140                  Martin Day   985
 1141             Chris Gutiérrez   985
 1142               José Quiñónez   985
 1143            Marco Polo Reyes   985
 1144               Nicco Montaño   985
 1145             Yoshinori Horie   985
 1146       Raulian Paiva Franzão   985
 1147                  Fares Ziam   985
 1148               Diana Belbiţă   985
 1149                  Ben Sosoli   985
 1150               Roman Kopylov   985
 1151              Mike Rodríguez   985
 1152                Tony Gravely   985
 1153                Shanna Young   985
 1154                Steve Garcia   985
 1155               Jamall Emmers   985
 1156                Irwin Rivera   985
 1157               Gabriel Green   985
 1158                Kevin Rosier   984
 1159                 Fabiano Iha   984
 1160                   Mark Weir   984
 1161                Duane Ludwig   984
 1162          Branden Lee Hinkle   984
 1163                 Tim Credeur   984
 1164                 Jason Brilz   984
 1165               Sean McCorkle   984
 1166            Stanislav Nedkov   984
 1167              Robbie Peralta   984
 1168                Issei Tamura   984
 1169             Marcos Vinicius   984
 1170                 Chico Camus   984
 1171                    Jon Tuck   984
 1172                Luke Barnatt   984
 1173               Roger Bowling   984
 1174          Daniel Omielańczuk   984
 1175             William Macário   984
 1176               Ernest Chavez   984
 1177           Francisco Trevino   984
 1178                   Jim Alers   984
 1179            Niklas Bäckström   984
 1180             Yosdenis Cedeno   984
 1181                  Matt Hobar   984
 1182                 Yuta Sasaki   984
 1183            Heather Jo Clark   984
 1184                Masio Fullen   984
 1185                 Diego Rivas   984
 1186          Ashlee Evans-Smith   984
 1187                Felipe Silva   984
 1188       Gadzhimurad Antigulov   984
 1189                 Cyril Asker   984
 1190                 Luke Jumeau   984
 1191              Joseph Morales   984
 1192                Nadia Kassem   984
 1193                  Deron Winn   984
 1194                  Teila Tuli   984
 1195               Art Jimmerson   984
 1196          Alberto Cerro Leon   984
 1197            Robert Lucarelli   984
 1198             Thaddeus Luster   984
 1199               David Levicki   984
 1200              Sean Daugherty   984
 1201                Roland Payne   984
 1202         Emmanuel Yarborough   984
 1203                 Jason Fairn   984
 1204            Eldo Dias Xavier   984
 1205                Asbel Cancio   984
 1206              Ernie Verdicia   984
 1207               Andy Anderson   984
 1208             Jack McLaughlin   984
 1209                  John Matua   984
 1210                  David Hood   984
 1211            Francesco Maturi   984
 1212                Gerry Harris   984
 1213                Keith Mielke   984
 1214                Paul Herrera   984
 1215              Thomas Ramirez   984
 1216               Matt Andersen   984
 1217             John Campetella   984
 1218               Scott Fiedler   984
 1219                  Dave Berry   984
 1220                Fabio Gurgel   984
 1221                  Reza Nasri   984
 1222                 Eric Martin   984
 1223                  Jackie Lee   984
 1224               Wallid Ismail   984
 1225                  Tony Halme   984
 1226             Dmitri Stepanov   984
 1227               Wes Albritton   984
 1228             Donnie Chappell   984
 1229                 Todd Butler   984
 1230                Houston Dorr   984
 1231             Marcus Silveira   984
 1232             Courtney Turner   984
 1233                 Josh Stuart   984
 1234               Eugenio Tadeu   984
 1235                Bob Gilstrap   984
 1236                  Allan Goes   984
 1237               Noe Hernandez   984
 1238                   Joe Pardo   984
 1239              Adriano Santos   984
 1240                Paulo Santos   984
 1241               Darrel Gholar   984
 1242                Joey Roberts   984
 1243                 Chris Condo   984
 1244                Dave Roberts   984
 1245           Flavio Luiz Moura   984
 1246             Lowell Anderson   984
 1247              Masutatsu Yano   984
 1248             David Velasquez   984
 1249              Jermaine Andre   984
 1250               Satoshi Honma   984
 1251              Alex Stiebling   984
 1252                 Aaron Brink   984
 1253                  Phil Johns   984
 1254                Joey Gilbert   984
 1255              Kelly Dullanty   984
 1256                Rodrigo Ruas   984
 1257                  Zach Light   984
 1258                  Nick Serra   984
 1259                 James Zikic   984
 1260              Leigh Remedios   984
 1261             Rich Crunkilton   984
 1262                  Romie Aram   984
 1263                  Eddie Ruiz   984
 1264            Gerald Strebendt   984
 1265                  Wade Shipp   984
 1266               Josh Rafferty   984
 1267             Alex Schoenauer   984
 1268              Lodune Sincaid   984
 1269               Chris Sanford   984
 1270               Jason Thacker   984
 1271            Bobby Southworth   984
 1272              Keigo Kunihara   984
 1273                 Sean Gannon   984
 1274                Kerry Schall   984
 1275                Icho Larenas   984
 1276               Derrick Noble   984
 1277                  Rick Davis   984
 1278                  Joe Jordan   984
 1279              Kristof Midoux   984
 1280               Cory Walmsley   984
 1281                  Mario Neto   984
 1282                Justin James   984
 1283         Sherman Pendergarst   984
 1284                Steve Byrnes   984
 1285                Steven Lynch   984
 1286                   Andy Wang   984
 1287                 Floyd Sword   984
 1288                  Scott Junk   984
 1289            Richie Hightower   984
 1290                Dorian Price   984
 1291                John Kolosci   984
 1292                 Dan Barrera   984
 1293                 Billy Miles   984
 1294               Jared Rollins   984
 1295                Ryan Roberts   984
 1296                Dante Rivera   984
 1297                 James Giboo   984
 1298               Brodie Farber   984
 1299                 Johnny Rees   984
 1300              Cale Yarbrough   984
 1301                 David Baron   984
 1302             John Polakowski   984
 1303               Jules Bruchez   984
 1304                 Shane Primm   984
 1305                    Tom Egan   984
 1306                Derek Downey   984
 1307                  Neil Grove   984
 1308                  Brian Cobb   984
 1309                Ryan Madigan   984
 1310                Frank Lester   984
 1311           Danillo Villefort   984
 1312           Rolles Gracie Jr.   984
 1313            James Hammortree   984
 1314                 Josh Bryant   984
 1315                 Jamie Yager   984
 1316            Vinicius Queiroz   984
 1317                Mark Scanlon   984
 1318              Fredson Paixão   984
 1319            Sako Chivitchian   984
 1320                 Tyler Toner   984
 1321             Aaron Wilkinson   984
 1322             Jesse Bongfeldt   984
 1323               Antonio McKee   984
 1324              Willamy Freire   984
 1325            Antonio Banuelos   984
 1326            Ryan McGillivray   984
 1327                Chuck O'Neil   984
 1328                Dustin Neace   984
 1329                Stephen Bass   984
 1330             Manny Gamburyan   984
 1331               Pat Schilling   984
 1332               Wagner Campos   984
 1333               John Teixeira   984
 1334               Delson Heleno   984
 1335          Anistavio Medeiros   984
 1336           Brendan Loughnane   984
 1337                  John Cofer   984
 1338            Manuel Rodriguez   984
 1339                  Jon Manley   984
 1340                 Caros Fodor   984
 1341               Jimmy Quinlan   984
 1342                 Collin Hart   984
 1343               Gilbert Smith   984
 1344                Roger Gracie   984
 1345             Nandor Guelmino   984
 1346           Ildemar Alcantara   984
 1347             Jose Maria Tome   984
 1348                Peggy Morgan   984
 1349                 Dave Galera   984
 1350                Albert Cheng   984
 1351                Wagner Silva   984
 1352        Márcio Alexandre Jr.   984
 1353              Tina Lähdemäki   984
 1354                   Mike King   984
 1355                 Anying Wang   984
 1356               Jianping Yang   984
 1357               Guto Inocente   984
 1358              Humberto Brown   984
 1359                   Juan Puig   984
 1360             Alexis Dufresne   984
 1361                 Alex Torres   984
 1362               Bentley Syler   984
 1363                   Rocky Lee   984
 1364             Izabela Badurek   984
 1365                 Joe Merritt   984
 1366          Nazareno Malegarie   984
 1367                 John Dodson   984
 1368             Bruno Rodrigues   984
 1369                Vernon Ramos   984
 1370                Ion Cuțelaba   984
 1371                Keith Berish   984
 1372              James Mulheron   984
 1373              Bharat Kandare   984
 1374                  Ariel Beck   984
 1375            Karine Gevorgyan   984
 1376             Christina Marks   984
 1377              Maia Stevenson   984
 1378              Melinda Fábián   984
 1379                Allan Zuñiga   984
 1380                Martín Bravo   984
 1381          Julija Stoliarenko   984
 1382              Michel Batista   984
 1383              Justin Frazier   984
 1384                Alex Gorgees   984
 1385                Pingyuan Liu   984
 1386                Hannah Goldy   984
 1387       Lara Fritzen Procópio   984
 1388              Teemu Packalén   984
 1389             Jamie Mullarkey   984
 1390             Jonathan Pearce   984
 1391              Antonio Arroyo   984
 1392               Jacob Kilburn   984
 1393                Ode Osbourne   984
 1394                Austin Lingo   984
 1395               Kazula Vargas   984
 1396                  Aalon Cruz   984
 1397          Norma Dumont Viana   984
 1398               Harold Howard   983
 1399               Chris Brennan   983
 1400              Alessio Sakara   983
 1401              Jason Von Flue   983
 1402                  Luke Cummo   983
 1403                Brock Larson   983
 1404                Jess Liaudin   983
 1405                 Matt Arroyo   983
 1406                  Per Eklund   983
 1407             Rolando Delgado   983
 1408               Nick Osipczak   983
 1409              Ricardo Romero   983
 1410                   Nick Pace   983
 1411               Clay Harvison   983
 1412                  Chris Cope   983
 1413                 John Albert   983
 1414              Johnny Bedford   983
 1415              Brandon Thatch   983
 1416                  Yan Cabral   983
 1417             Patrick Cummins   983
 1418             Augusto Montaño   983
 1419               Ron Stallings   983
 1420               Adam Milstead   983
 1421             Danielle Taylor   983
 1422              Julian Marquez   983
 1423                Charles Byrd   983
 1424           Chris de la Rocha   983
 1425               Hannah Cifers   983
 1426                  Ray Wizard   983
 1427           He-Man Ali Gipson   983
 1428              Dieuseul Berto   983
 1429              Saeed Hosseini   983
 1430                 Yuri Vaulin   983
 1431              Carlos Barreto   983
 1432                Tony Petarra   983
 1433              Nate Schroeder   983
 1434                Alex Andrade   983
 1435                Sean Alvarez   983
 1436               Chris Liguori   983
 1437                 Ronald Jhun   983
 1438                    Kit Cope   983
 1439          Solomon Hutcherson   983
 1440         Kristian Rothaermel   983
 1441             Júnior Assunção   983
 1442              Brian Geraghty   983
 1443                Allen Berube   983
 1444              Paul Georgieff   983
 1445                   James Lee   983
 1446                  Joe Vedepo   983
 1447                 Ivan Serati   983
 1448              Cameron Dollar   983
 1449             Razak Al-Hassan   983
 1450            Charlie Valencia   983
 1451                 Jorge Lopez   983
 1452                  Matt Lucas   983
 1453                 Tom DeBlass   983
 1454                  Will Chope   983
 1455            Shunichi Shimizu   983
 1456       Guilherme Vasconcelos   983
 1457              Danny Mitchell   983
 1458              Matt Van Buren   983
 1459           Jorge de Oliveira   983
 1460              Lewis Gonzalez   983
 1461                Roger Zapata   983
 1462             Felipe Olivieri   983
 1463                 Filip Pejić   983
 1464               Angela Magaña   983
 1465         Nicolae Negumereanu   983
 1466              Serghei Spivac   983
 1467               Grigory Popov   983
 1468             Domingo Pilarte   983
 1469                 Jin Soo Son   983
 1470              Rodrigo Vargas   983
 1471           Ariane Carnelossi   983
 1472                 Maki Pitolo   983
 1473              Grigorii Popov   983
 1474       Abubakar Nurmagomedov   983
 1475           Isabella de Pádua   983
 1476              Mallory Martin   983
 1477              Joshua Culibao   983
 1478                  T.J. Brown   983
 1479               Kimo Leopoldo   982
 1480                 David Heath   982
 1481                Jesse Lennox   982
 1482                 Pablo Garza   982
 1483                Ian Loveland   982
 1484               Zhang Tiequan   982
 1485                Walel Watson   982
 1486             Thiago Perpétuo   982
 1487          Cristiano Marcello   982
 1488                  Tor Troéng   982
 1489                Justin Salas   982
 1490             George Sullivan   982
 1491              Milana Dudieva   982
 1492               David Michaud   982
 1493                Scott Askham   982
 1494               Erick Montaño   982
 1495                    Joe Soto   982
 1496                 Jamie Moyle   982
 1497             Roberto Sanchez   982
 1498         Joao Marcos Pierini   982
 1499              Tom Blackledge   982
 1500         Yoislandy Izquierdo   982
 1501                  Bubba Bush   982
 1502                 Liana Jojua   982
 1503              Eugene Jackson   981
 1504                Josh Thomson   981
 1505                Jorge Gurgel   981
 1506                 Kevin Burns   981
 1507                  Dan Miller   981
 1508                 Hacran Dias   981
 1509                Yui Chul Nam   981
 1510               Roman Salazar   981
 1511                Justin Ledet   981
 1512                Dong Hyun Ma   981
 1513         Mara Romero Borella   981
 1514               Mark Hominick   980
 1515              Kyle Kingsbury   980
 1516            Jake Ellenberger   980
 1517                 Renan Barão   980
 1518               Dustin Kimura   980
 1519               Matthew Lopez   980
 1520                Yves Edwards   979
 1521                Yves Jabouin   979
 1522               Daniel Pineda   979
 1523                  Chris Beal   979
 1524                 Syuri Kondo   979
 1525                    Caol Uno   978
 1526                   Joe Riggs   978
 1527                   Sam Stout   978
 1528                Paulo Thiago   978
 1529                Jason Knight   978
 1530                  Mike Brown   977
 1531             Emil Weber Meek   977
 1532               Travis Lutter   976
 1533            Luigi Fioravanti   976
 1534              Anthony Perosh   976
 1535                   Nick Hein   976
 1536               Jack Marshman   976
 1537              Damir Hadžović   976
 1538                 Marcin Held   976
 1539                 Craig White   976
 1540              Brian Johnston   975
 1541                 James Irvin   975
 1542            Mike De La Torre   975
 1543              Chris Fishgold   975
 1544                Chris Wilson   974
 1545                  Ryo Chonan   974
 1546                   Pat Barry   974
 1547                  Matt Veach   974
 1548               Mario Miranda   974
 1549          Isaac Vallie-Flagg   974
 1550                  Tom Watson   974
 1551                  Brad Scott   974
 1552                 Kevin Casey   974
 1553             Darrell Horcher   974
 1554          Kuniyoshi Hironaka   973
 1555                Goran Reljic   973
 1556         Christian Morecraft   973
 1557            Anthony Njokuani   973
 1558                 Erick Silva   973
 1559             Fabrício Camões   973
 1560              Bubba McDaniel   973
 1561              Piotr Hallmann   973
 1562               Zach Makovsky   973
 1563               Russell Doane   973
 1564             James Moontasri   973
 1565                Eric Shelton   973
 1566               Daniel Teymur   973
 1567              Lucio Linhares   973
 1568              Curt Warburton   973
 1569              Kamal Shalorus   973
 1570              Derrick Krantz   973
 1571                Philipe Lins   973
 1572               Bobby Hoffman   972
 1573                Terry Martin   972
 1574                  Jason Dent   972
 1575                 Dave Herman   972
 1576              Felipe Arantes   972
 1577                Andrew Craig   972
 1578              Louis Gaudinot   972
 1579                Rodrigo Damm   972
 1580           Rafael Cavalcante   972
 1581            Robert Whiteford   972
 1582              Akbarh Arreola   972
 1583                Clay Collard   972
 1584                Leandro Issa   972
 1585          Elizabeth Phillips   972
 1586              Guido Cannetti   972
 1587               Frankie Perez   972
 1588              Alex Nicholson   972
 1589               Vince Morales   972
 1590           Anthony Hernandez   972
 1591              Seung Woo Choi   972
 1592                 Amar Suloev   972
 1593               Justin Levens   972
 1594               Alberto Crane   972
 1595               Roger Hollett   972
 1596              Carlos Huachin   972
 1597                   Tyson Nam   972
 1598               Justin Eilers   971
 1599                   Pete Sell   971
 1600              Alvin Robinson   971
 1601                Andre Winner   971
 1602            Bart Palaszewski   971
 1603                John Maguire   971
 1604             Vinny Magalhães   971
 1605                    Mike Rio   971
 1606                 Phil Harris   971
 1607                 Renée Forte   971
 1608                Sean Spencer   971
 1609              Johnny Eduardo   971
 1610               Jessica Penne   971
 1611              Danny Martinez   971
 1612              Jeremy Kimball   971
 1613               Austin Arnett   971
 1614            Saparbek Safarov   971
 1615              Felipe Colares   971
 1616          Priscila Cachoeira   971
 1617                  Koji Oishi   971
 1618                 Sean Salmon   971
 1619                   Jason Tan   971
 1620              Antonio Mendes   971
 1621                  Reese Andy   971
 1622                T.J. O'Brien   971
 1623                 Chad Griggs   971
 1624                Joey Gambino   971
 1625               Quinn Mulhern   971
 1626          Antônio Braga Neto   971
 1627              Shayna Baszler   971
 1628               Josh Copeland   971
 1629               Mehdi Baghdad   971
 1630               Jason Novelli   971
 1631             Michael McBride   971
 1632                Tim Williams   971
 1633                 Jeff Hughes   971
 1634           Nohelin Hernandez   971
 1635               Pete Williams   970
 1636                  Tim Lajcik   970
 1637              Marcus Aurélio   970
 1638             Efrain Escudero   970
 1639                Kyle Bradley   970
 1640                 Mike Guymon   970
 1641              Seth Baczynski   970
 1642             Kazuki Tokudome   970
 1643            Alptekin Özkılıç   970
 1644                  Alex White   970
 1645              Gasan Umalatov   970
 1646            Brendan O'Reilly   970
 1647                  Yao Zhikui   970
 1648                Cody Pfister   970
 1649                Willie Gates   970
 1650             Andrew Holbrook   970
 1651            Reginaldo Vieira   970
 1652             Teruto Ishihara   970
 1653              Damian Stasiak   970
 1654         Joachim Christensen   970
 1655              Jason Gonzalez   970
 1656              Oskar Piechota   970
 1657            Rachael Ostovich   970
 1658                Devin Powell   970
 1659             Talita Bernardo   970
 1660               Klidson Abreu   970
 1661        Christophe Leininger   970
 1662             Harry Moskowitz   970
 1663              Valeri Ignatov   970
 1664                Steve Berger   970
 1665              Jeremy Jackson   970
 1666                Kevin Jordan   970
 1667              Gilbert Aldana   970
 1668       Dokonjonosuke Mishima   970
 1669                 Chad Reiner   970
 1670              John Halverson   970
 1671                  Doug Evans   970
 1672           Kazuhiro Nakamura   970
 1673                Andre Gusmao   970
 1674                 Dan Evensen   970
 1675                Michael Patt   970
 1676               Denis Stojnić   970
 1677               Amilcar Alves   970
 1678               Pat Audinwood   970
 1679                Danny Downes   970
 1680                  Luis Ramos   970
 1681            Byron Bloodworth   970
 1682                Josh Clopton   970
 1683               Josh Ferguson   970
 1684            Ednaldo Oliveira   970
 1685               João Zeferino   970
 1686            Junior Hernandez   970
 1687             Jon delos Reyes   970
 1688        Márcio Alexandre Jr.   970
 1689       Anthony Christodoulou   970
 1690               Yusuke Kasuya   970
 1691                  Joey Gomez   970
 1692               Joe Gigliotti   970
 1693              Pearl Gonzalez   970
 1694              Tom Gallicchio   970
 1695               Nick Roehrick   970
 1696                  Te Edwards   970
 1697         Anderson dos Santos   970
 1698               Gabriel Silva   970
 1699               Cody McKenzie   969
 1700               Ivan Menjivar   969
 1701             Michael Johnson   969
 1702                Hyun Gyu Lim   969
 1703                  Josh Sampo   969
 1704                 Mark Eddiva   969
 1705            Patrick Williams   969
 1706                 Seo Hee Ham   969
 1707               Luis Henrique   969
 1708                Damien Brown   969
 1709                Jarjis Danho   969
 1710              Marcel Fortuna   969
 1711           Magomed Bibulatov   969
 1712           Humberto Bandenay   969
 1713              Lauren Mueller   969
 1714              Rashad Coulter   969
 1715               John Phillips   969
 1716               Trent Jenkins   969
 1717               Larry Cureton   969
 1718             Moti Horenstein   969
 1719                 Royce Alger   969
 1720           Townsend Saunders   969
 1721                Jason Godsey   969
 1722            Alexandre Dantas   969
 1723                Curtis Stout   969
 1724                Travis Wiuff   969
 1725                 Jeff Curran   969
 1726            Fabiano Scherner   969
 1727                  Sam Morgan   969
 1728             Crafton Wallace   969
 1729                   David Lee   969
 1730              Hector Ramirez   969
 1731             Victor Valimaki   969
 1732       Edilberto de Oliveira   969
 1733                    Jeff Cox   969
 1734                Jordan Radev   969
 1735                 Jason Black   969
 1736                   Joe Veres   969
 1737                   Tom Speer   969
 1738                 Brad Morris   969
 1739                 Ryan Thomas   969
 1740                 Steve Bruno   969
 1741                Edgar Garcia   969
 1742                   Jay Silva   969
 1743                 Steve Lopez   969
 1744                 Justin Wren   969
 1745          Darrill Schoonover   969
 1746                Marcus Jones   969
 1747               Julio Paulino   969
 1748                  Mike Lullo   969
 1749            Edward Faaloloto   969
 1750                Paul Bradley   969
 1751                 Mike Stumpf   969
 1752             Joseph Sandoval   969
 1753                Tommy Hayden   969
 1754              Jared Papazian   969
 1755                Dan Stittgen   969
 1756              Henry Martinez   969
 1757                Oli Thompson   969
 1758                 Nick Penner   969
 1759         Yasuhiro Urushitani   969
 1760           Shane del Rosario   969
 1761               Brock Jardine   969
 1762             Azamat Gashimov   969
 1763                 Chris Spång   969
 1764                  Adam Cella   969
 1765             Bristol Marunde   969
 1766                 Sheila Gaff   969
 1767                Julie Kedzie   969
 1768                Jesse Ronson   969
 1769             Anthony Lapsley   969
 1770             Jessica Rakoczy   969
 1771                    Ben Wall   969
 1772              Luiz Dutra Jr.   969
 1773           Jumabieke Tuerxun   969
 1774                   Alan Omer   969
 1775          Richardson Moreira   969
 1776                Jake Lindsey   969
 1777               Josh Shockley   969
 1778                Shane Howell   969
 1779              Dashon Johnson   969
 1780               Andreas Ståhl   969
 1781             Chris Heatherly   969
 1782              Tateki Matsuda   969
 1783             Larissa Pacheco   969
 1784               Marcin Bandel   969
 1785               Angela Magaña   969
 1786                Jonavin Webb   969
 1787            Steve Montgomery   969
 1788           Horacio Gutiérrez   969
 1789               Enrique Marín   969
 1790              Abner Lloveras   969
 1791              Marcin Wrzosek   969
 1792              Elvis Mutapcic   969
 1793             Martin Svensson   969
 1794              Cory Hendricks   969
 1795             Cláudia Gadelha   969
 1796               J.C. Cottrell   969
 1797                     CM Punk   969
 1798                Charlie Ward   969
 1799               Oliver Enkamp   969
 1800         Carls John de Tomas   969
 1801             Michel Quiñones   969
 1802               Rob Wilkinson   969
 1803                Ricky Rainey   969
 1804               Tyler Diamond   969
 1805              Richie Smullen   969
 1806             Jay Cucciniello   969
 1807               Joe Giannetti   969
 1808                Taila Santos   969
 1809              Ryan MacDonald   969
 1810              Thomas Gifford   969
 1811                Duda Santana   969
 1812            Khadis Ibragimov   969
 1813                Vanessa Melo   969
 1814      Bruno Gustavo da Silva   969
 1815              Don’Tale Mayes   969
 1816              Edwin Figueroa   968
 1817                 Cody Gibson   968
 1818                  Vik Grujic   968
 1819              Richie Vaculik   968
 1820             Mark De La Rosa   968
 1821                  Juan Adams   968
 1822                Zane Frazier   968
 1823                  Sam Fulton   968
 1824                  David Dodd   968
 1825                Steve Judson   968
 1826                  Gideon Ray   968
 1827             Ansar Chalangov   968
 1828                   Wes Combs   968
 1829                Danny Abbadi   968
 1830                 Chris Price   968
 1831              Colin Robinson   968
 1832                   Rob Yundt   968
 1833                  Dale Hartt   968
 1834                 Dave Kaplan   968
 1835                Ronys Torres   968
 1836                  Mark Holst   968
 1837                Donny Walker   968
 1838               Eiji Mitsuoka   968
 1839               Milton Vieira   968
 1840               Ulysses Gomez   968
 1841             Justin Lawrence   968
 1842             Simeon Thoresen   968
 1843              Colin Fletcher   968
 1844              Yuri Villefort   968
 1845                Besam Yousef   968
 1846               Jeremy Larsen   968
 1847                 Rosi Sexton   968
 1848               Takenori Sato   968
 1849                Chris Indich   968
 1850            Hernani Perpétuo   968
 1851           Roldan Sangcha-an   968
 1852            Wendell Oliveira   968
 1853            Leonardo Morales   968
 1854                Justin Jones   968
 1855                  Lisa Ellis   968
 1856                   Leo Kuntz   968
 1857              Ericka Almeida   968
 1858               Hayder Hassan   968
