Fighter;Result;Opponent;Date;Method;Fight Number
Kuniyoshi Hironaka;def.;Forrest Petz;April 5, 2007;Decision;3
Colton Smith;def.;Mike Ricci;December 15, 2012;Decision;10
Frankie Saenz;def.;Nolan Ticman;August 16, 2014;Decision;1
Demian Maia;def.;Alexander Yakovlev;May 31, 2014;Decision;9
Rashid Magomedov;def.;Rodrigo Damm;May 31, 2014;Decision;7
Sarah Kaufman;def.;Leslie Smith;April 16, 2014;Decision;7
Nordine Taleb;def.;Vik Grujic;April 16, 2014;Decision;3
Richard Walsh;def.;Chris Indich;April 16, 2014;Decision;2
Mitch Gagnon;def.;Tim Gorman;April 16, 2014;Decision;1
Jessamyn Duke;def.;Peggy Morgan;November 30, 2013;Decision;7
Sean Spencer;def.;Drew Dober;November 30, 2013;Decision;2
Justin McCully;def.;Antoni Hardonk;April 5, 2007;Decision;8
Roan Carneiro;def.;Rich Clementi;April 5, 2007;Decision;2
Thiago Tavares;def.;Naoyuki Kotani;April 5, 2007;Decision;1
Nik Lentz;def.;Diego Nunes;January 19, 2013;Decision;5
Cheick Kongo;def.;Shawn Jordan;July 21, 2012;Decision;9
Tim Kennedy;def.;Michael Bisping;April 16, 2014;Decision;13
Renan Barão;def.;Urijah Faber;July 21, 2012;Decision;11
Akira Corassani;def.;Maximo Blanco;November 30, 2013;Disqualification;5
Amaury Bitetti;def.;Alex Andrade;June 9, 2000;Disqualification;5
Brad Gumm;vs.;CJ Fernandes;June 9, 2000;Draw;9
B.J. Penn;vs.;Jon Fitch;27 February 2011;Draw;10
DeAnna Bennett;vs.;Melinda Fábián;December 1, 2017;Draw;7
Eugene Jackson;def.;Royce Alger;July 16, 1999;KO;3
Andre Roberts;def.;Ron Waterman;July 16, 1999;KO;2
Doo Ho Choi;def.;Thiago Tavares;July 8, 2016;KO;8
Joaquim Silva;def.;Andrew Holbrook;July 8, 2016;KO;7
Li Jingliang;def.;Anton Zafir;July 8, 2016;KO;1
Jorge Masvidal;def.;Cezar Ferreira;July 12, 2015;KO;8
Travis Browne;def.;Gabriel Gonzaga;April 13, 2013;KO;9
Rob Font;def.;Matt Schnell;December 3, 2016;KO;5
Alan Jouban;def.;Seth Baczynski;August 16, 2014;KO;7
Ryan Jimmo;def.;Anthony Perosh;July 21, 2012;KO;4
Khabib Nurmagomedov;def.;Thiago Tavares;January 19, 2013;KO;8
Doo Ho Choi;def.;Thiago Tavares;July 8, 2016;KO;8
Joaquim Silva;def.;Andrew Holbrook;July 8, 2016;KO;7
Li Jingliang;def.;Anton Zafir;July 8, 2016;KO;1
Marcos Rogério de Lima;def.;Richardson Moreira;May 31, 2014;KO;2
K.J. Noons;def.;Sam Stout;April 16, 2014;KO;8
Ryan Jimmo;def.;Sean O'Connell;April 16, 2014;KO;6
Pat Barry;def.;Shane del Rosario;December 15, 2012;KO;9
Johnny Bedford;def.;Marcos Vinicius;December 15, 2012;KO;6
Antonio Carvalho;def.;Daniel Pineda;July 21, 2012;KO;2
Stephen Thompson;def.;Jake Ellenberger;July 12, 2015;KO;11
Rustam Khabilov;def.;Vinc Pichel;December 15, 2012;KO;5
Pedro Nobre;vs.;Iuri Alcântara;January 19, 2013;No Contest;3
Matthew Riddle;vs.;Chris Clements;July 21, 2012;No Contest;7
Francisco Rivera;vs.;Roland Delorme;July 21, 2012;No Contest;5
Benji Radach;vs.;Steve Berger;May 10, 2002;No Contest;2
K.J. Noons;vs.;Daron Cruickshank;December 12, 2014;No Contest;9
Maurice Smith;def.;Bobby Hoffman;September 22, 2000;Decision;6
Juan Espino Dieppa;def.;Justin Frazier;November 30, 2018;Submission;12
Macy Chiasson;def.;Pannie Kianzad;November 30, 2018;Submission;11
Maurice Greene;def.;Michel Batista;November 30, 2018;Submission;5
Roosevelt Roberts;def.;Darrell Horcher;November 30, 2018;Submission;3
Raoni Barcelos;def.;Chris Gutiérrez;November 30, 2018;Submission;1
Paul Jones;def.;Flavio Luiz Moura;July 16, 1999;Submission;5
Murilo Bustamante;def.;Matt Lindland;May 10, 2002;Submission;8
Kyle Noke;def.;Chris Camozzi;27 February 2011;Submission;6
Alexander Gustafsson;def.;James Te Huna;27 February 2011;Submission;4
Anthony Perosh;def.;Tom Blackledge;27 February 2011;Submission;2
